user_id,activation_date,books_started,books_completed,reading_minutes,completed_book,completed
101,2026-01-05,2,1,240,Yes,1
102,2026-01-08,1,0,80,No,0
103,2026-01-10,3,2,360,Yes,1
104,2026-01-12,1,1,210,Yes,1
105,Unknown,2,0,90,No,0
106,2026-01-18,4,3,480,Yes,1
107,2026-01-20,1,0,70,No,0
108,2026-01-22,2,1,220,Yes,1
109,2026-01-24,3,2,340,Yes,1
110,2026-01-25,1,1,180,Yes,1
111,2026-01-27,2,1,250,Yes,1
112,2026-01-28,1,0,60,No,0
113,2026-01-30,3,2,390,Yes,1
114,Unknown,2,0,110,No,0
115,2026-02-02,4,3,510,Yes,1
116,2026-02-03,1,0,75,No,0
117,2026-02-05,2,1,210,Yes,1
118,2026-02-07,3,2,330,Yes,1
119,2026-02-08,1,1,190,Yes,1
120,2026-02-10,2,0,120,No,0
121,2026-02-12,3,2,350,Yes,1
122,Unknown,1,0,50,No,0
123,2026-02-15,4,4,600,Yes,1
124,2026-02-17,2,1,230,Yes,1
