user_id,activation_date,books_started,books_completed,reading_minutes,completed_book
101,2026-01-05,2,1,240,Yes
102,2026-01-08,1,0,80,No
103,2026-01-10,3,2,360,Yes
104,2026-01-12,1,1,210,Yes
105,,2,0,90,No
106,2026-01-18,4,3,480,Yes
107,2026-01-20,1,0,70,No
108,2026-01-22,2,1,220,Yes
109,2026-01-24,3,2,340,Yes
110,2026-01-25,1,1,180,Yes
111,2026-01-27,2,1,250,Yes
112,2026-01-28,1,0,60,No
113,2026-01-30,3,2,390,Yes
114,,2,0,110,No
115,2026-02-02,4,3,510,Yes
116,2026-02-03,1,0,75,No
117,2026-02-05,2,1,210,Yes
118,2026-02-07,3,2,330,Yes
119,2026-02-08,1,1,190,Yes
120,2026-02-10,2,0,120,No
108,2026-01-22,2,1,220,Yes
121,2026-02-12,3,2,350,Yes
122,,1,0,50,No
123,2026-02-15,4,4,600,Yes
124,2026-02-17,2,1,230,Yes
